"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
1	"Seigneurs, oï avez maint conte"	"Messieurs, vous avez entendu maintes histoires"			0			"x"	"Prologue"	"Le livre"	"2009/02/prologue-le-livre.html"	"https://2.bp.blogspot.com/-i_6eODNdyJg/V-_SlRyD9-I/AAAAAAAAHpI/uN4XUAiEGhMl3V2nwmtxHtcETuK8zrNaQCLcB/s320/01a-renart-contre-ysengrin.jpg"		"Les enfances Renart (1)"	"Les exploits de jeunesse de Renart"		
2	"Que maint conteres vos aconte,"	"que de nombreux conteurs vous ont rapportées :"															
3	"Conment Paris ravi Helayne,"	"comment Pâris ravit Hélène,"															
4	"Les maux qu'il en ot et la paine,"	"les maux et la peine qu'il en eut,"															
5	"De Tristram qui La Chievre fist,"	"l'histoire de Tristan écrite par la Chèvre"															
6	"Qui assez belement en dist"	"qui est fort bellement racontée,"															
7	"Et fables et chançons de geste,"	"des fables et des chansons de geste,"															
8	"Romanz de lui et de sa geste,"	"des romans sur lui et sa lignée,"															
9	"Maint autre conte par la terre."	"et beaucoup d'autres encore à travers le pays."															
10	"Mes onques n'oïstes la guerre,"	"Mais vous n'avez jamais eu vent de cette guerre"															
11	"Qui mout fu dure de grant fin,"	"qui fut dure au plus haut point"	"dure de grant fin"	"dure au plus haut point"													
12	"Entre Renart et Ysengrin,"	"entre Renart et Ysengrin,"															
13	"Qui mout dura et mout fu dure."	"qui dura pourtant si longtemps et fut si acharnée."															
14	"Des .II. barons, ce est la pure,"	"Ces deux seigneurs, c'est la pure vérité,"															
15	"Onques ne s'entramerent jor."	"ne s'aimèrent jamais."															
16	"Mainte mellee et maint estor"	"Il y eut maintes échauffourées et maintes batailles"															
17	"Ot entr'eus .II., ce est la voire."	"entre eux, c'est sûr."															
18	"Des or conmenceré l'estoire"	"Je vais donc commencer l'histoire"															
19	"Et de la noise et del content."	"de leur tapage et de leur dispute."															
20	"Or orrez le conmencement"	"Vous allez maintenant en entendre le début,"															
21	"Par qoi et par quel mesetance"	"le pourquoi, et par quelle embrouille"															
22	"Fu entre eus .II. la desfiance."	"il n'y a jamais eu que défiance entre eux deux."															
23	"Or oez, si ne vos anuit."	"Écoutez donc, si cela ne vous ennuie pas."															
24	"Je vos conteré par deduit"	"Je vais vous raconter pour le plaisir,"															
25	"Conment il vindrent en avant,"	"comment ils sont apparus,"															
26	"Si con je l'ai trouvé lisant,"	"et ainsi que je l'ai appris en le lisant,"															
27	"Qui fu Renart et Ysengrin."	"qui furent Renart et Ysengrin."															
28	"Je trovai ja en .I. escrin"	"J'ai trouvé jadis dans un reliquaire"															
29	".I. livre : Aucupre avoit non."	"un livre, qui avait pour nom Aucupre."															
30	"La trovai je mainte reson"	"Je découvrais là de nombreux récits"															
31	"Et de Renart et d'autre chose"	"sur Renart, et d'autres choses"															
32	"Dont l'en doit bien parler et ose."	"dont on doit bien parler, alors j'ose."															
33	"A une grant letre vremeille,"	"À côté d'une grande lettre vermillon"															
34	"La trovai je mainte merveille."	"j'ai trouvé maintes merveilles."															
35	"Se je ne la trovasse el livre,"	"Si je ne les avais pas lues dans ce livre,"															
36	"Je tenisse celui por yvre"	"j'aurais tenu pour ivre"															
37	"Qui dite eüst tele aventure,"	"celui qui aurait raconté une telle aventure,"															
38	"Mes l'en doit croire l'escripture."	"mais on doit bien croire les écritures."															
39	"A desenor muert a bon droit"	"C'est à bon droit qu'il meurt de honte,"	"A desenor muert a bon droit"	"C'est à bon droit qu'il meurt de honte"													
40	"Qui n'ainme livre ne ne croit."	"celui qui n'aime pas les livres, ni ne croit."				"x"											
41	"Aucupre dit en cele letre"	"Aucupre dit dans son récit"			1		2	"x"		"La naissance d'Ysengrin"	"2009/03/prologue-la-naissance-dysengrin.html"	"https://2.bp.blogspot.com/-njwbmllkzaM/V-_SlX6qmXI/AAAAAAAAHpQ/M7awNN99x3EDvWk16euA7Rk4l0Y9u7jzQCLcB/s320/01b-loup-et-agneau.jpg"					
42	"— Bien ait de Dieu qui l'i fist metre ! —"	"(qu'il soit béni de Dieu celui qui l'y a fait mettre !)"															
43	"Come Diex ot de paradis"	"comment Dieu chasse hors du paradis"															
44	"Et Adam et Evam fors mis"	"Adam et Ève"															
45	"Por ce qu'il orent trespassé"	"parce qu'ils ont transgressé"															
46	"Ce qu'il lor avoit conmandé."	"ce qu'il leur a ordonné."															
47	"Pitiez l'en prist, si lor donna"	"Pris de pitié, il leur donne alors"															
48	"Une verge, si lor mostra"	"une verge, puis leur explique"															
49	"Quant il de riens mestier avroient,"	"que lorsqu'ils auront besoin de quelque chose,"															
50	"De cele verge en mer ferroient."	"ils frappent dans la mer avec cette verge."															
51	"Adam tint la verge en sa main,"	"Adam tient la verge dans sa main,"															
52	"En mer feri devant Evain."	"et frappe dans la mer devant Ève."															
53	"Si tost con en la mer feri,"	"Aussitôt après avoir frappé dans la mer,"															
54	"Une brebiz fors en sailli."	"une brebis en jaillit."															
55	"Lors dist Adam : « Dame, prenez"	"Adam dit alors : « Madame, prenez"															
56	"Ceste brebiz, si la gardez :"	"cette brebis, puis gardez la;"															
57	"Tant vos donra let et fronmage."	"elle vous donnera beaucoup de lait et de fromage."															
58	"Assez i avrons compenage. »"	"Nous en tirerons suffisamment de nourriture. »"	"Assez i avrons compenage"	"Nous en tirerons beaucoup de nourriture"													
59	"Evain en son cuer porpensoit"	"Ève pense au fond du cœur"															
60	"Que s'ele encor une en avoit,"	"que si elle en avait encore une,"															
61	"Plus bele estroit la compaingnie."	"plus belle serait la compagnie."															
62	"Ele a la verge tost saisie,"	"Elle saisit aussitôt la verge,"															
63	"En la mer feri roidement :"	"et frappe rudement dans la mer :"															
64	".I. leus en saut, la brebiz prent."	"un loup en jaillit qui prend la brebis,"															
65	"Grant aleüre et grant galos,"	"et s'en va fuyant à grande allure"															
66	"S'en va li leus fuiant au bos."	"au grand galop dans le bois."															
67	"Quant Eve vit qu'ele a perdue"	"Quand Ève voit qu'elle a perdu"															
68	"Sa brebiz, s'ele n'a aüe,"	"sa brebis et qu'elle ne peut être secourue,"	"s'ele n'a aüe"	"comme elle n'a pas d'aide"													
69	"Bret et crie forment : « Ha ! ha ! »"	"elle se lamente et crie fortement : « Ah ! Ah ! »"	"Bret"	"elle s'agite (v. brester)"													
70	"Adam la verge reprise a,"	"Adam reprend la verge,"															
71	"En la mer fiert par mautalent :"	"il frappe de colère dans la mer :"															
72	".I. chien en saut hastivement."	"un chien en jaillit hâtivement."															
