verse-number	original-word	translated-word	not-confirmed	translations	headword
1	Seigneurs	messieurs			
1	,				
1	oï	entendu		entendu, entendit, a entendu, entend	
1	avez	avez			
1	maint	de nombreux		de nombreux, mène, nombreux, maint, maints, beaucoup de, maintes, tant	
1	conte	conte		conte, raconte, compte, conté, contes	
2	Que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
2	maint	beaucoup de		de nombreux, mène, nombreux, maint, maints, beaucoup de, maintes, tant	
2	conteres	conteurs			
2	vos	vous		vous, vos, votre	
2	aconte	ont raconté		raconte, ont raconté	
2	,				
3	Conment	comment		comment, quoi	
3	Paris	Paris			
3	ravi	ravi			
3	Helayne	Hélène			
3	,				
4	Les	les		les, celles de, à côté, laisse, héritage, leur, légué	
4	maux	maux		mauvais, maux	
4	qu'il	qu'il		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
4	en	en		en, dans, sur, à, de, dans le, on, au	
4	ot	a eu		avait, entend, a eu, a, il y a eu, eu, eut	
4	et	et		et, ni, Et	
4	la	la		la, là, là-bas, entendit, nos	
4	paine	peine			
4	,				
5	De	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
5	Tristram	Tristan			
5	qui	que		qui, que, celui qui, car, quelqu'un qui, quiconque	
5	La	la		la, là, là-bas, entendit, nos	
5	Chievre	Chèvre		chèvre, Chèvre	
5	fist	a fait		a fait, fit, fait, agit	
5	,				
6	Qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
6	assez	fort		beaucoup, assez, suffisamment, fort	
6	belement	bellement		bellement, tranquillement	
6	en	en		en, dans, sur, à, de, dans le, on, au	
6	dist	a parlé		dit, a parlé, a dit, se dit	
7	Et	et		et, ni, Et	
7	fables	fables			
7	et	et		et, ni, Et	
7	chançons	chansons			
7	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
7	geste	geste		lignée, geste	
7	,				
8	Romanz	romans			
8	de	sur		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
8	lui	lui		lui, elle, le, la, celui	
8	et	et		et, ni, Et	
8	de	sur		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
8	sa	sa		sa, avec	
8	geste	lignée		lignée, geste	
8	,				
9	Maint	de nombreux		de nombreux, mène, nombreux, maint, maints, beaucoup de, maintes, tant	
9	autre	autres		autre, autres	
9	conte	contes		conte, raconte, compte, conté, contes	
9	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
9	la	nos		la, là, là-bas, entendit, nos	
9	terre	contrées		terre, contrées	
9	.				
10	Mes	mais		mais, plus, mes, mon, encore, désormais, pourtant, auparavant	
10	onques	jamais		jamais, toujours, déjà	
10	n'oïstes	n'avez entendu parler de			
10	la	la		la, là, là-bas, entendit, nos	
10	guerre	guerre			
10	,				
11	Qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
11	mout	très		très, beaucoup, fort, trop, longtemps, tout, plus	
11	fu	fut		fut, était, a été, furent, il y a eu	
11	dure	dure			
11	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
11	grant	grande		grand, grande, gros, bon, toute	
11	fin	durée		fin, faim, durée	
11	,				
12	Entre	entre		entre, ensemble, avec	
12	Renart	Renart			
12	et	et		et, ni, Et	
12	Ysengrin	Ysengrin			
12	,				
13	Qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
13	mout	longtemps		très, beaucoup, fort, trop, longtemps, tout, plus	
13	dura	dura			
13	et	et		et, ni, Et	
13	mout	très		très, beaucoup, fort, trop, longtemps, tout, plus	
13	fu	fut		fut, était, a été, furent, il y a eu	
13	dure	dure			
13	.				
14	Des	des		des, dès, au sujet de, dés, à propos	
14	.II.	deux			
14	barons	barons			
14	,				
14	ce	ce		ce, ça, lui, cela, ceci, le, il	
14	est	est		est, a	
14	la	la		la, là, là-bas, entendit, nos	
14	pure	pure vérité		pure, pure vérité	
14	,				
15	Onques	jamais		jamais, toujours, déjà	
15	ne	ne		ne, ni, ou, et, sans	
15	s'entramerent	s'aimèrent			
15	jor	un jour		jour, journée, un jour	
15	.				
16	Mainte	maintes		maintes, de nombreux	
16	mellee	querelles			
16	et	et		et, ni, Et	
16	maint	maintes		de nombreux, mène, nombreux, maint, maints, beaucoup de, maintes, tant	
16	estor	batailles		bataille, batailles	
17	Ot	il y a eu		avait, entend, a eu, a, il y a eu, eu, eut	
17	entr'eus	entre eux			
17	.II.	deux			
17	,				
17	ce	ce		ce, ça, lui, cela, ceci, le, il	
17	est	est		est, a	
17	la	la		la, là, là-bas, entendit, nos	
17	voire	vérité		vérité, vraiment, vraie	
17	.				
18	Des	dès		des, dès, au sujet de, dés, à propos	
18	or	maintenant		maintenant, donc, alors, allez, là, or, Or, mais, à présent, par	
18	conmenceré	je vais commencer			
18	l'estoire	l'histoire			
19	Et	et		et, ni, Et	
19	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
19	la	la		la, là, là-bas, entendit, nos	
19	noise	tapage		tapage, bruit, vacarme	
19	et	et		et, ni, Et	
19	del	de le		de le, du, dans le, de	
19	content	dispute		racontent, dispute	
19	.				
20	Or	donc		maintenant, donc, alors, allez, là, or, Or, mais, à présent, par	
20	orrez	écoutez			
20	le	le		le, lui, la	
20	conmencement	début			
21	Par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
